assetId,downloadAttribute,filetype,size,downloadLink,rawLink
Bricks097,1K-JPG,zip,5376497,https://ambientCG.com/get?file=Bricks097_1K-JPG.zip,https://ambientCG.com/get?file=Bricks097_1K-JPG.zip
Bricks097,2K-JPG,zip,16134615,https://ambientCG.com/get?file=Bricks097_2K-JPG.zip,https://ambientCG.com/get?file=Bricks097_2K-JPG.zip
Bricks097,4K-JPG,zip,57195345,https://ambientCG.com/get?file=Bricks097_4K-JPG.zip,https://ambientCG.com/get?file=Bricks097_4K-JPG.zip
Bricks097,8K-JPG,zip,208746352,https://ambientCG.com/get?file=Bricks097_8K-JPG.zip,https://ambientCG.com/get?file=Bricks097_8K-JPG.zip
Bricks097,1K-PNG,zip,9733947,https://ambientCG.com/get?file=Bricks097_1K-PNG.zip,https://ambientCG.com/get?file=Bricks097_1K-PNG.zip
Bricks097,2K-PNG,zip,33748513,https://ambientCG.com/get?file=Bricks097_2K-PNG.zip,https://ambientCG.com/get?file=Bricks097_2K-PNG.zip
Bricks097,4K-PNG,zip,128420050,https://ambientCG.com/get?file=Bricks097_4K-PNG.zip,https://ambientCG.com/get?file=Bricks097_4K-PNG.zip
Bricks097,8K-PNG,zip,498750951,https://ambientCG.com/get?file=Bricks097_8K-PNG.zip,https://ambientCG.com/get?file=Bricks097_8K-PNG.zip
Asphalt031,1K-JPG,zip,8926658,https://ambientCG.com/get?file=Asphalt031_1K-JPG.zip,https://ambientCG.com/get?file=Asphalt031_1K-JPG.zip
Asphalt031,2K-JPG,zip,31089594,https://ambientCG.com/get?file=Asphalt031_2K-JPG.zip,https://ambientCG.com/get?file=Asphalt031_2K-JPG.zip
Asphalt031,4K-JPG,zip,113514063,https://ambientCG.com/get?file=Asphalt031_4K-JPG.zip,https://ambientCG.com/get?file=Asphalt031_4K-JPG.zip
Asphalt031,8K-JPG,zip,412553413,https://ambientCG.com/get?file=Asphalt031_8K-JPG.zip,https://ambientCG.com/get?file=Asphalt031_8K-JPG.zip
Asphalt031,1K-PNG,zip,17921918,https://ambientCG.com/get?file=Asphalt031_1K-PNG.zip,https://ambientCG.com/get?file=Asphalt031_1K-PNG.zip
Asphalt031,2K-PNG,zip,66152286,https://ambientCG.com/get?file=Asphalt031_2K-PNG.zip,https://ambientCG.com/get?file=Asphalt031_2K-PNG.zip
Asphalt031,4K-PNG,zip,253457352,https://ambientCG.com/get?file=Asphalt031_4K-PNG.zip,https://ambientCG.com/get?file=Asphalt031_4K-PNG.zip
Asphalt031,8K-PNG,zip,981709382,https://ambientCG.com/get?file=Asphalt031_8K-PNG.zip,https://ambientCG.com/get?file=Asphalt031_8K-PNG.zip
Wood092,1K-JPG,zip,4889861,https://ambientCG.com/get?file=Wood092_1K-JPG.zip,https://ambientCG.com/get?file=Wood092_1K-JPG.zip
Wood092,2K-JPG,zip,17913490,https://ambientCG.com/get?file=Wood092_2K-JPG.zip,https://ambientCG.com/get?file=Wood092_2K-JPG.zip
Wood092,4K-JPG,zip,59705603,https://ambientCG.com/get?file=Wood092_4K-JPG.zip,https://ambientCG.com/get?file=Wood092_4K-JPG.zip
Wood092,8K-JPG,zip,180497755,https://ambientCG.com/get?file=Wood092_8K-JPG.zip,https://ambientCG.com/get?file=Wood092_8K-JPG.zip
Wood092,1K-PNG,zip,13792824,https://ambientCG.com/get?file=Wood092_1K-PNG.zip,https://ambientCG.com/get?file=Wood092_1K-PNG.zip
Wood092,2K-PNG,zip,52844903,https://ambientCG.com/get?file=Wood092_2K-PNG.zip,https://ambientCG.com/get?file=Wood092_2K-PNG.zip
Wood092,4K-PNG,zip,199554984,https://ambientCG.com/get?file=Wood092_4K-PNG.zip,https://ambientCG.com/get?file=Wood092_4K-PNG.zip
Wood092,8K-PNG,zip,695174339,https://ambientCG.com/get?file=Wood092_8K-PNG.zip,https://ambientCG.com/get?file=Wood092_8K-PNG.zip
DayEnvironmentHDRI066,1K-HDR,exr,2100912,https://ambientCG.com/get?file=DayEnvironmentHDRI066_1K-HDR.exr,https://ambientCG.com/get?file=DayEnvironmentHDRI066_1K-HDR.exr
DayEnvironmentHDRI066,1K-TONEMAPPED,jpg,415784,https://ambientCG.com/get?file=DayEnvironmentHDRI066_1K-TONEMAPPED.jpg,https://ambientCG.com/get?file=DayEnvironmentHDRI066_1K-TONEMAPPED.jpg
DayEnvironmentHDRI066,2K-HDR,exr,8146287,https://ambientCG.com/get?file=DayEnvironmentHDRI066_2K-HDR.exr,https://ambientCG.com/get?file=DayEnvironmentHDRI066_2K-HDR.exr
DayEnvironmentHDRI066,2K-TONEMAPPED,jpg,1631210,https://ambientCG.com/get?file=DayEnvironmentHDRI066_2K-TONEMAPPED.jpg,https://ambientCG.com/get?file=DayEnvironmentHDRI066_2K-TONEMAPPED.jpg
DayEnvironmentHDRI066,4K-HDR,exr,31842863,https://ambientCG.com/get?file=DayEnvironmentHDRI066_4K-HDR.exr,https://ambientCG.com/get?file=DayEnvironmentHDRI066_4K-HDR.exr
DayEnvironmentHDRI066,4K-TONEMAPPED,jpg,6376585,https://ambientCG.com/get?file=DayEnvironmentHDRI066_4K-TONEMAPPED.jpg,https://ambientCG.com/get?file=DayEnvironmentHDRI066_4K-TONEMAPPED.jpg
DayEnvironmentHDRI066,8K-HDR,exr,123638659,https://ambientCG.com/get?file=DayEnvironmentHDRI066_8K-HDR.exr,https://ambientCG.com/get?file=DayEnvironmentHDRI066_8K-HDR.exr
